Year,Race Name,Driver
2016,Australian Grand Prix,Romain Grosjean
2016,Bahrain Grand Prix,Romain Grosjean
2016,Chinese Grand Prix,Daniil Kvyat
2016,Russian Grand Prix,Kevin Magnussen
2016,Spanish Grand Prix,Max Verstappen
2016,Monaco Grand Prix,Sergio Pérez
2016,Canadian Grand Prix,Max Verstappen
2016,European Grand Prix,Sergio Pérez
2016,Austrian Grand Prix,Max Verstappen
2016,British Grand Prix,Max Verstappen
2016,Hungarian Grand Prix,Kimi Räikkönen
2016,German Grand Prix,Daniel Ricciardo
2016,Belgian Grand Prix,Lewis Hamilton
2016,Italian Grand Prix,Nico Rosberg
2016,Singapore Grand Prix,Sebastian Vettel
2016,Malaysian Grand Prix,Max Verstappen
2016,Japanese Grand Prix,Max Verstappen
2016,United States Grand Prix,Max Verstappen
2016,Mexican Grand Prix,Sebastian Vettel
2016,Brazilian Grand Prix,Max Verstappen
2016,Abu Dhabi Grand Prix,Sebastian Vettel
2017,Australian Grand Prix,Sebastian Vettel
2017,Chinese Grand Prix,Max Verstappen
2017,Bahrain Grand Prix,Sebastian Vettel
2017,Russian Grand Prix,Valtteri Bottas
2017,Spanish Grand Prix,Sebastian Vettel
2017,Monaco Grand Prix,Sebastian Vettel
2017,Canadian Grand Prix,Sebastian Vettel
2017,Azerbaijan Grand Prix,Lance Stroll
2017,Austrian Grand Prix,Valtteri Bottas
2017,British Grand Prix,Daniel Ricciardo
2017,Hungarian Grand Prix,Kimi Räikkönen
2017,Belgian Grand Prix,Lewis Hamilton
2017,Italian Grand Prix,Daniel Ricciardo
2017,Singapore Grand Prix,Lewis Hamilton
2017,Malaysian Grand Prix,Sebastian Vettel
2017,Japanese Grand Prix,Max Verstappen
2017,United States Grand Prix,Max Verstappen
2017,Mexican Grand Prix,Sebastian Vettel
2017,Brazilian Grand Prix,Lewis Hamilton
2017,Abu Dhabi Grand Prix,Valtteri Bottas
2018,Australian Grand Prix,Fernando Alonso
2018,Bahrain Grand Prix,Pierre Gasly
2018,Chinese Grand Prix,Daniel Ricciardo
2018,Azerbaijan Grand Prix,Charles Leclerc
2018,Spanish Grand Prix,Lewis Hamilton
2018,Monaco Grand Prix,Daniel Ricciardo
2018,Canadian Grand Prix,Sebastian Vettel
2018,French Grand Prix,Sebastian Vettel
2018,Austrian Grand Prix,Max Verstappen
2018,British Grand Prix,Lewis Hamilton
