Year,Race Name,Driver,Position,Championship Standing
2016,Australian Grand Prix,Romain Grosjean,6,6
2016,Bahrain Grand Prix,Romain Grosjean,5,5
2016,Chinese Grand Prix,Daniil Kvyat,3,7
2016,Russian Grand Prix,Kevin Magnussen,7,13
2016,Spanish Grand Prix,Max Verstappen,1,6
2016,Monaco Grand Prix,Sergio Pérez,3,9
2016,Canadian Grand Prix,Max Verstappen,4,6
2016,European Grand Prix,Sergio Pérez,3,8
2016,Austrian Grand Prix,Max Verstappen,2,6
2016,British Grand Prix,Max Verstappen,2,6
2016,Hungarian Grand Prix,Kimi Räikkönen,6,4
2016,German Grand Prix,Daniel Ricciardo,2,3
2016,Belgian Grand Prix,Lewis Hamilton,3,1
2016,Italian Grand Prix,Nico Rosberg,1,2
2016,Singapore Grand Prix,Sebastian Vettel,5,4
2016,Malaysian Grand Prix,Max Verstappen,2,6
2016,Japanese Grand Prix,Max Verstappen,2,5
2016,United States Grand Prix,Max Verstappen,Ret,6
2016,Mexican Grand Prix,Sebastian Vettel,5,4
2016,Brazilian Grand Prix,Max Verstappen,3,5
2016,Abu Dhabi Grand Prix,Sebastian Vettel,3,4
2017,Australian Grand Prix,Sebastian Vettel,1,1
2017,Chinese Grand Prix,Max Verstappen,3,3
2017,Bahrain Grand Prix,Sebastian Vettel,1,1
2017,Russian Grand Prix,Valtteri Bottas,1,3
2017,Spanish Grand Prix,Sebastian Vettel,2,1
2017,Monaco Grand Prix,Sebastian Vettel,1,1
2017,Canadian Grand Prix,Sebastian Vettel,4,1
2017,Azerbaijan Grand Prix,Lance Stroll,3,12
2017,Austrian Grand Prix,Valtteri Bottas,1,3
2017,British Grand Prix,Daniel Ricciardo,5,4
2017,Hungarian Grand Prix,Kimi Räikkönen,2,5
2017,Belgian Grand Prix,Lewis Hamilton,1,2
2017,Italian Grand Prix,Daniel Ricciardo,4,4
2017,Singapore Grand Prix,Lewis Hamilton,1,1
2017,Malaysian Grand Prix,Sebastian Vettel,4,2
2017,Japanese Grand Prix,Max Verstappen,2,6
2017,United States Grand Prix,Max Verstappen,4,6
2017,Mexican Grand Prix,Sebastian Vettel,4,2
2017,Brazilian Grand Prix,Lewis Hamilton,4,1
2017,Abu Dhabi Grand Prix,Valtteri Bottas,1,3
2018,Australian Grand Prix,Fernando Alonso,5,5
2018,Bahrain Grand Prix,Pierre Gasly,4,8
2018,Chinese Grand Prix,Daniel Ricciardo,1,4
2018,Azerbaijan Grand Prix,Charles Leclerc,6,13
2018,Spanish Grand Prix,Lewis Hamilton,1,1
2018,Monaco Grand Prix,Daniel Ricciardo,1,3
2018,Canadian Grand Prix,Sebastian Vettel,1,1
2018,French Grand Prix,Sebastian Vettel,5,2
2018,Austrian Grand Prix,Max Verstappen,1,5
2018,British Grand Prix,Lewis Hamilton,2,2
2018,German Grand Prix,Lewis Hamilton,1,1
2018,Hungarian Grand Prix,Daniel Ricciardo,4,5
2018,Belgian Grand Prix,Sebastian Vettel,1,2
2018,Italian Grand Prix,Kimi Räikkönen,2,3
2018,Singapore Grand Prix,Max Verstappen,2,5
2018,Russian Grand Prix,Max Verstappen,5,5
2018,Japanese Grand Prix,Daniel Ricciardo,4,6
2018,United States Grand Prix,Max Verstappen,2,5
2018,Mexican Grand Prix,Max Verstappen,1,5
2018,Brazilian Grand Prix,Max Verstappen,2,5
2018,Abu Dhabi Grand Prix,Fernando Alonso,11,11
2019,Australian Grand Prix,Valtteri Bottas,1st,1
2019,Bahrain Grand Prix,Charles Leclerc,3,4
2019,Chinese Grand Prix,Alexander Albon,10,13
2019,Azerbaijan Grand Prix,Charles Leclerc,5,5
2019,Spanish Grand Prix,Max Verstappen,3,3
2019,Monaco Grand Prix,Max Verstappen,4,4
2019,Canadian Grand Prix,Sebastian Vettel,2,3
2019,French Grand Prix,Lando Norris,9,11
2019,Austrian Grand Prix,Max Verstappen,1,3
2019,British Grand Prix,Charles Leclerc,3,5
2019,German Grand Prix,Max Verstappen,1,3
2019,Hungarian Grand Prix,Max Verstappen,2,3
2019,Belgian Grand Prix,Lando Norris,11,11
2019,Italian Grand Prix,Charles Leclerc,1,4
2019,Singapore Grand Prix,Sebastian Vettel,1,5
2019,Russian Grand Prix,Sebastian Vettel,Ret,5
2019,Japanese Grand Prix,Valtteri Bottas,1,2
2019,Mexican Grand Prix,Max Verstappen,6,5
2019,United States Grand Prix,Alexander Albon,5,6
2019,Brazilian Grand Prix,Max Verstappen,1,3
2019,Abu Dhabi Grand Prix,Nico Hülkenberg,12,14
2020,Austrian Grand Prix,Alexander Albon,13‡,FIND MANUALLY
2020,Styrian Grand Prix,Sergio Pérez,6,FIND MANUALLY
2020,Hungarian Grand Prix,Max Verstappen,2,FIND MANUALLY
2020,British Grand Prix,Lewis Hamilton,1,FIND MANUALLY
2020,70th Anniversary Grand Prix,Max Verstappen,1,FIND MANUALLY
2020,Spanish Grand Prix,Sebastian Vettel,7,FIND MANUALLY
2020,Belgian Grand Prix,Pierre Gasly,8,FIND MANUALLY
2020,Italian Grand Prix,Pierre Gasly,1,FIND MANUALLY
2020,Tuscan Grand Prix,Daniel Ricciardo,4,FIND MANUALLY
2020,Russian Grand Prix,Max Verstappen,2,FIND MANUALLY
2020,Eifel Grand Prix,Nico Hülkenberg,8,FIND MANUALLY
2020,Portuguese Grand Prix,Sergio Pérez,7,FIND MANUALLY
2020,Emilia-Romagna Grand Prix,Kimi Räikkönen,9,FIND MANUALLY
2020,Turkish Grand Prix,Sebastian Vettel,3,FIND MANUALLY
2020,Bahrain Grand Prix,Romain Grosjean,Ret,FIND MANUALLY
2020,Sakhir Grand Prix,George Russell,9,FIND MANUALLY
2020,Abu Dhabi Grand Prix,Max Verstappen,1,FIND MANUALLY
2021,Bahrain Grand Prix,Sergio Pérez,5,5
2021,Emilia-Romagna Grand Prix,Lando Norris,3,3
2021,Portuguese Grand Prix,Sergio Pérez,4,6
2021,Spanish Grand Prix,Lewis Hamilton,1,1
2021,Monaco Grand Prix,Sebastian Vettel,5,11
2021,Azerbaijan Grand Prix,Sebastian Vettel,2,9
2021,French Grand Prix,Max Verstappen,1,1
2021,Styrian Grand Prix,Charles Leclerc,7,6
2021,Austrian Grand Prix,Lando Norris,3,4
2021,British Grand Prix,Charles Leclerc,2,6
2021,Hungarian Grand Prix,Fernando Alonso,4,11
2021,Belgian Grand Prix,Not awarded,FIND MANUALLY,FIND MANUALLY
2021,Dutch Grand Prix,Sergio Pérez,8,5
2021,Italian Grand Prix,Daniel Ricciardo,1,8
2021,Russian Grand Prix,Lando Norris,7,4
2021,Turkish Grand Prix,Carlos Sainz Jr.,FIND MANUALLY,FIND MANUALLY
2021,United States Grand Prix,Max Verstappen,1,1
2021,Mexico City Grand Prix,Sergio Pérez,3,4
2021,São Paulo Grand Prix,Lewis Hamilton,1,2
2021,Qatar Grand Prix,Fernando Alonso,3,10
2021,Saudi Arabian Grand Prix,Max Verstappen,2,1
2021,Abu Dhabi Grand Prix,Kimi Räikkönen,Ret,16
2022,Bahrain Grand Prix,Charles Leclerc,1,1
2022,Saudi Arabian Grand Prix,Charles Leclerc,2,1
2022,Australian Grand Prix,Charles Leclerc,1,1
2022,Emilia Romagna Grand Prix,Max Verstappen,1,2
2022,Miami Grand Prix,Max Verstappen,1,2
2022,Spanish Grand Prix,Lewis Hamilton,5,6
2022,Monaco Grand Prix,Sergio Pérez,1,3
2022,Azerbaijan Grand Prix,Lewis Hamilton,4,6
2022,Canadian Grand Prix,Charles Leclerc,5,3
2022,British Grand Prix,Sergio Pérez,2,2
2022,Austrian Grand Prix,Mick Schumacher,6,15
2022,French Grand Prix,Carlos Sainz Jr.,FIND MANUALLY,FIND MANUALLY
2022,Hungarian Grand Prix,Max Verstappen,1,1
2022,Belgian Grand Prix,Max Verstappen,1,1
2022,Dutch Grand Prix,Max Verstappen,1,1
2022,Italian Grand Prix,Nyck de Vries,9,20
2022,Singapore Grand Prix,Sergio Pérez,1,3
2022,Japanese Grand Prix,Sebastian Vettel,6,11
2022,United States Grand Prix,Sebastian Vettel,8,11
2022,Mexico City Grand Prix,Daniel Ricciardo,7,12
2022,São Paulo Grand Prix,Lewis Hamilton,2,5
2022,Abu Dhabi Grand Prix,Sebastian Vettel,10,12
2023,Bahrain Grand Prix,Fernando Alonso,3,FIND MANUALLY
2023,Saudi Arabian Grand Prix,Max Verstappen,2,FIND MANUALLY
2023,Australian Grand Prix,Sergio Pérez,5,FIND MANUALLY
2023,Azerbaijan Grand Prix,Sergio Pérez,1,FIND MANUALLY
2023,Miami Grand Prix,Max Verstappen,1,FIND MANUALLY
2023,Monaco Grand Prix,Esteban Ocon,3,FIND MANUALLY
2023,Spanish Grand Prix,Lewis Hamilton,2,FIND MANUALLY
2023,Canadian Grand Prix,Alexander Albon,7,12th
2023,Austrian Grand Prix,Lando Norris,5,10th
2023,British Grand Prix,Lando Norris,2,9th
2023,Hungarian Grand Prix,Sergio Pérez,3,2nd
2023,Belgian Grand Prix,Max Verstappen,1,1st
2023,Dutch Grand Prix,Fernando Alonso,2,3rd
2023,Italian Grand Prix,Carlos Sainz Jr.,FIND MANUALLY,FIND MANUALLY
2023,Singapore Grand Prix,Carlos Sainz Jr.,FIND MANUALLY,FIND MANUALLY
2023,Japanese Grand Prix,Oscar Piastri,3,9th
2023,Qatar Grand Prix,Oscar Piastri,2,9th
2023,United States Grand Prix,Lando Norris,2,6th
2023,Mexico City Grand Prix,Lando Norris,5,6th
2023,São Paulo Grand Prix,Lando Norris,2,5th
2023,Las Vegas Grand Prix,Charles Leclerc,2,7th
2023,Abu Dhabi Grand Prix,Yuki Tsunoda,8,14th
2024,Bahrain Grand Prix,Carlos Sainz Jr.,FIND MANUALLY,FIND MANUALLY
2024,Saudi Arabian Grand Prix,Oliver Bearman,7,10th
2024,Australian Grand Prix,Carlos Sainz Jr.,FIND MANUALLY,FIND MANUALLY
2024,Japanese Grand Prix,Charles Leclerc,4,3rd
2024,Chinese Grand Prix,Lando Norris,2,5th
2024,Miami Grand Prix,Lando Norris,1,4th
2024,Emilia Romagna Grand Prix,Lando Norris,FIND MANUALLY,FIND MANUALLY
2024,Monaco Grand Prix,Charles Leclerc,1,FIND MANUALLY
2024,Canadian Grand Prix,Lando Norris,FIND MANUALLY,FIND MANUALLY
2024,Spanish Grand Prix,Lando Norris,FIND MANUALLY,FIND MANUALLY
